MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
722	0.154432	127020016	0.725051	1130404715
723	0.148857	127546358	0.695915	1135106385
724	0.154538	128074152	0.692716	1139821074
725	0.159687	128603400	0.720796	1144548800
726	0.158859	129134104	0.703716	1149289581
727	0.159586	129666266	0.677021	1154043435
728	0.151424	130199888	0.73054	1158810380
729	0.149169	130734972	0.707153	1163590434
730	0.163096	131271520	0.717055	1168383615
731	0.15499	131809534	0.732482	1173189941
732	0.165756	132349016	0.72805	1178009430
733	0.180787	132889968	0.723694	1182842100
734	0.157259	133432392	0.741313	1187687969
735	0.159699	133976290	0.725042	1192547055
736	0.156138	134521664	0.738633	1197419376
737	0.171259	135068516	0.709694	1202304950
738	0.159227	135616848	0.747802	1207203795
739	0.164114	136166662	0.766405	1212115929
740	0.152891	136717960	0.733079	1217041370
741	0.155161	137270744	0.749498	1221980136
742	0.153192	137825016	0.761164	1226932245
743	0.158741	138380778	0.760955	1231897715
744	0.15251	138938032	0.804162	1236876564
745	0.166681	139496780	0.794788	1241868810
746	0.155522	140057024	0.7761	1246874471
747	0.158016	140618766	0.795215	1251893565
748	0.181964	141182008	0.787602	1256926110
749	0.174646	141746752	0.789043	1261972124
750	0.159338	142313000	0.787886	1267031625
751	0.172382	142880754	0.788738	1272104631
752	0.17035	143450016	0.826445	1277191160
753	0.17469	144020788	0.776146	1282291230
754	0.17438	144593072	0.797997	1287404859
755	0.173078	145166870	0.790795	1292532065
756	0.172191	145742184	0.782279	1297672866
757	0.166071	146319016	0.841225	1302827280
758	0.172087	146897368	0.811033	1307995325
759	0.170843	147477242	0.834963	1313177019
760	0.187032	148058640	0.823249	1318372380
761	0.170596	148641564	0.823491	1323581426
762	0.18275	149226016	0.80705	1328804175
763	0.178663	149811998	0.820034	1334040645
764	0.17317	150399512	0.825428	1339290854
765	0.166443	150988560	0.854694	1344554820
766	0.172822	151579144	0.83776	1349832561
767	0.17503	152171266	0.843125	1355124095
768	0.1802	152764928	0.847843	1360429440
769	0.192851	153360132	0.889255	1365748614
770	0.189458	153956880	0.878372	1371081635
771	0.194317	154555174	0.911696	1376428521
772	0.200228	155155016	0.900951	1381789290
773	0.176408	155756408	0.860569	1387163960
774	0.187517	156359352	0.90435	1392552549
775	0.185338	156963850	0.916921	1397955075
776	0.183425	157569904	0.89562	1403371556
