MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
677	0.138589	104805016	0.501738	621723627
678	0.11604	105268088	0.525734	624481053
679	0.121564	105732522	0.522073	627246620
680	0.113348	106198320	0.505353	630020340
681	0.133553	106665484	0.539967	632802225
682	0.129249	107134016	0.533802	635592287
683	0.12047	107603918	0.506204	638390538
684	0.113335	108075192	0.517921	641196990
685	0.150878	108547840	0.546504	644011655
686	0.135459	109021864	0.549182	646834545
687	0.129565	109497266	0.54985	649665672
688	0.127896	109974048	0.557162	652505048
689	0.142316	110452212	0.548957	655352685
690	0.126845	110931760	0.5436	658208595
691	0.119975	111412694	0.554273	661072790
692	0.123202	111895016	0.553963	663945282
693	0.136492	112378728	0.529173	666826083
694	0.140049	112863832	0.554021	669715205
695	0.114463	113350330	0.539592	672612660
696	0.125919	113838224	0.539957	675518460
697	0.138135	114327516	0.554654	678432617
698	0.127651	114818208	0.598138	681355143
699	0.12706	115310302	0.581946	684286050
700	0.125534	115803800	0.55105	687225350
701	0.137916	116298704	0.587506	690173055
702	0.130071	116795016	0.580241	693129177
703	0.135526	117292738	0.599158	696093728
704	0.129925	117791872	0.577841	699066720
705	0.135438	118292420	0.60313	702048165
706	0.1458	118794384	0.581245	705038075
707	0.132348	119297766	0.621334	708036462
708	0.136971	119802568	0.619464	711043338
709	0.135173	120308792	0.605915	714058715
710	0.203417	120816440	0.673385	717082605
711	0.193213	121325514	0.709227	720115020
712	0.125695	121836016	0.693968	723155972
713	0.218378	122347948	0.691594	726205473
714	0.154767	122861312	0.702735	729263535
715	0.150973	123376110	0.613729	732330170
716	0.155966	123892344	0.630103	735405390
717	0.155462	124410016	0.645296	738489207
718	0.147399	124929128	0.626058	741581633
719	0.156335	125449682	0.652979	744682680
720	0.147791	125971680	0.621771	747792360
721	0.142442	126495124	0.660624	750910685
722	0.148797	127020016	0.645949	754037667
723	0.17003	127546358	0.649062	757173318
724	0.146968	128074152	0.656327	760317650
725	0.146453	128603400	0.639891	763470675
726	0.147398	129134104	0.780553	766632405
727	0.19122	129666266	0.843782	769802852
728	0.189117	130199888	0.699322	772982028
729	0.171066	130734972	0.723385	776169945
730	0.155278	131271520	0.670178	779366615
731	0.162607	131809534	0.683197	782572050
732	0.153804	132349016	0.659791	785786262
733	0.146944	132889968	0.659371	789009263
734	0.166727	133432392	0.693619	792241065
735	0.231403	133976290	0.763662	795481680
736	0.162603	134521664	0.70092	798731120
737	0.169535	135068516	0.683746	801989397
738	0.159144	135616848	0.733006	805256523
739	0.201477	136166662	0.823781	808532510
740	0.220741	136717960	0.737034	811817370
741	0.168055	137270744	0.696182	815111115
742	0.154723	137825016	0.707181	818413757
743	0.153845	138380778	0.692818	821725308
744	0.162365	138938032	0.710104	825045780
745	0.16359	139496780	0.716644	828375185
746	0.177768	140057024	0.721312	831713535
747	0.163753	140618766	0.703127	835060842
748	0.168087	141182008	0.703841	838417118
749	0.179849	141746752	0.707758	841782375
750	0.172254	142313000	0.727863	845156625
751	0.160939	142880754	0.753098	848539880
752	0.159563	143450016	0.717081	851932152
753	0.155809	144020788	0.768284	855333453
754	0.168109	144593072	0.732649	858743795
755	0.168225	145166870	0.727016	862163190
756	0.167597	145742184	0.733498	865591650
757	0.169519	146319016	0.734097	869029187
758	0.175045	146897368	0.740243	872475813
759	0.173515	147477242	0.758006	875931540
760	0.176835	148058640	0.791978	879396380
761	0.176223	148641564	0.938669	882870345
762	0.180804	149226016	1.04158	886353447
763	0.175291	149811998	0.898217	889845698
764	0.200143	150399512	0.918043	893347110
765	0.234326	150988560	0.835649	896857695
766	0.182063	151579144	0.953954	900377465
767	0.190518	152171266	0.887024	903906432
768	0.185789	152764928	0.881855	907444608
769	0.246473	153360132	1.01447	910992005
770	0.256242	153956880	0.980199	914548635
771	0.191003	154555174	0.937964	918114510
772	0.196486	155155016	0.869622	921689642
773	0.233832	155756408	0.964879	925274043
774	0.242628	156359352	0.867696	928867725
775	0.19343	156963850	0.869119	932470700
776	0.189575	157569904	0.806826	936082980
777	0.192126	158177516	0.812799	939704577
778	0.194394	158786688	0.790919	943335503
779	0.191845	159397422	0.793008	946975770
780	0.201979	160009720	0.809714	950625390
781	0.175564	160623584	0.830782	954284375
782	0.191018	161239016	1.01355	957952737
783	0.199651	161856018	0.897331	961630488
784	0.225455	162474592	0.921371	965317640
785	0.25044	163094740	0.876685	969014205
786	0.189259	163716464	0.854203	972720195
787	0.198475	164339766	0.980077	976435622
788	0.27639	164964648	0.954356	980160498
789	0.210014	165591112	0.858408	983894835
790	0.191595	166219160	0.823814	987638645
791	0.206548	166848794	0.85415	991391940
792	0.19467	167480016	0.853916	995154732
793	0.206074	168112828	0.914915	998927033
794	0.290592	168747232	1.07615	1002708855
